g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568937561.349,3,23,0,2182,2,25602,26860,259,6387718,20332976,9,237,MI,ANDROID,cellular,app,HTML,Shop Now, {product.title},3200480,,,1
-4,0,1568937585.384,3,23,0,1061,2,25697,27493,74,6392898,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568663550.471,0,19,0,2214,2,6732,15102,69,6372771,28490031,"3,9,9",244,23,ANDROID,cellular,app,HTML,XEM NGAY,ƯU ĐÃI ĐẾN 60%,3200480,,,0
-4,0,1568664021.907,0,20,0,1087,2,25179,25740,253,6371282,28641080,24,32,,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568664036.777,0,20,0,1061,2,25401,26160,69,6381865,27629513,"9,9",106,30,ANDROID,cellular,app,HTML,Pesan Sekarang,"Saat waktu tak memberi 
banyak pilihan, cek GrabFood",4800320,0,,0
-4,0,1568664172.648,0,20,0,2214,2,6732,15102,259,6372757,28586913,9,244,44,ANDROID,wifi,app,HTML,XEM NGAY,ƯU ĐÃI ĐẾN 60%,3200480,,,0
-4,0,1568664426.786,0,20,0,1088,2,25181,26511,74,6381396,28120963,14,32,07,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568664955.647,0,20,0,489,2,25122,25122,253,5853696,27844410,9,32,27,ANDROID,wifi,app,IMAGE,,,4800320,,,0
-4,0,1568665299.536,0,20,0,1883,2,6491,14205,259,6374579,20332976,9,146,31,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568665943.665,0,20,0,535,2,25228,26353,253,6389569,28222703,9,146,09,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568666125.317,0,20,0,1883,2,6491,14466,69,6372238,26491542,"1,1,5",146,,ANDROID,cellular,app,NATIVE,PIDE AHORA,Dónde va tu pedido? Síguelo en tiempo real!,0,1,,0
-4,0,1568666262.47,0,20,0,930,2,25555,26683,69,6359436,26773518,3,10,07,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568666274.461,0,20,0,1487,2,25356,26720,69,6374880,28153864,"14,3",32,21,ANDROID,wifi,app,NATIVE,Compre Agora,Use o Cupom: CALCADOS15 e ganhe 15% de Desconto em Calçados!,0,3,,0
-4,0,1568666484.322,0,20,0,1088,2,25181,25181,69,6371277,11442,"14,24",32,27,IOS,cellular,app,IMAGE,,,3200050,,,0
-4,0,1568666813.726,0,20,0,1087,2,25179,26510,69,6371282,27836801,"9,9",32,15,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568666972.362,0,20,0,930,2,25555,26682,69,6359440,28175271,"24,3",10,05,ANDROID,cellular,app,NATIVE,Recargá ahora,¡No te quedes sin saldo!,0,,,0
-4,0,1568667783.6,0,21,0,930,2,25482,26577,99,6379442,28137768,,32,,ANDROID,,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568667841.03,0,21,0,930,2,25482,26490,69,6379444,28153864,"14,3",32,06,ANDROID,wifi,app,NATIVE,ABRIR O APP,Coloque créditos no seu celular a qualquer hora!,0,,,0
-4,0,1568667846.164,0,21,0,2363,2,25440,27075,253,6383473,20332098,9,10,07,ANDROID,cellular,app,HTML,Pedí un Glovo,Entrega en minutos,3200050,1,,0
-4,0,1568667996.026,0,21,0,1087,2,25179,25835,69,6371282,27873948,"1,1,9,9",32,27,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568668015.24,0,21,0,930,2,25482,26490,253,6379442,28582441,1,32,13,ANDROID,wifi,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568668046.017,0,21,0,2154,2,25170,25170,253,6385049,28160125,9,32,21,ANDROID,cellular,app,IMAGE,,,4800320,,,0
-4,0,1568668199.735,0,21,0,2182,2,25602,26857,253,6387667,28202405,9,237,,ANDROID,wifi,app,HTML,Shop Now,Up to 70% off,3200050,,,0
-4,0,1568668431.091,0,21,0,930,2,25555,26682,259,6359439,20306412,9,10,04,ANDROID,wifi,app,IMAGE,,,4800320,,,0
-4,0,1568668443.088,0,21,0,1999,2,25662,27118,69,6374254,27661100,3,32,27,ANDROID,wifi,app,NATIVE,Peça já,App do gás? É no Chama!,0,,,0
-4,0,1568668563.451,0,21,0,2117,2,25160,26745,99,6384585,27299428,,237,,ANDROID,,app,NATIVE,Order Now,Get anything delivered,0,,,0
-4,0,1568668613.638,0,21,0,930,2,25482,26490,259,6379442,26159967,9,32,27,ANDROID,cellular,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568669143.497,0,21,0,1088,2,25181,25840,74,6381396,28120963,14,32,27,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568669236.541,0,21,0,2154,2,25476,26459,253,6389907,28641080,24,32,,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568669254.325,0,21,0,536,2,25227,26352,74,6391917,28120963,14,66,18,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568669438.309,0,21,0,930,2,25482,26490,168,6379438,27386999,"19,19,3",32,,ANDROID,cellular,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568669459.037,0,21,0,930,2,25555,26682,253,6359438,28582415,9,10,01,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568669582.197,0,21,0,2416,2,25664,27148,69,6390881,28492220,"15,15,24",104,24,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568669870.312,0,21,0,2304,2,6629,15676,69,6376350,27817395,"1,1,9,9",101,00,ANDROID,cellular,app,NATIVE,立即預訂,幫你搵至抵優惠價格，慳高達50%,0,3,,0
-4,0,1568669996.989,0,21,0,1087,2,25179,25835,69,6371265,26773518,3,32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568670004.161,0,21,0,1061,2,6652,14758,69,6376678,27734527,3,106,08,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,0
-4,0,1568670076.237,0,21,0,2213,2,6639,14723,69,6388961,27734524,3,178,K1,ANDROID,wifi,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
-4,0,1568670214.406,0,21,0,536,2,25225,26341,74,6389685,28120963,14,49,34,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568670452.867,0,21,0,1088,2,25181,25840,253,6381399,28596915,9,32,15,IOS,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568670569.881,0,21,0,2363,2,25639,27002,99,6383902,25483459,,10,07,ANDROID,wifi,app,NATIVE,Pedí un Glovo,Descubrí los mejores restaurantes de nuestra ciudad,0,,,0
-4,0,1568670584.727,0,21,0,2320,2,6573,15222,69,6356452,26329784,"1,9,9",32,26,ANDROID,cellular,app,IMAGE,,,3200050,3,,0
-4,0,1568670593.997,0,21,0,1061,2,25426,26202,69,6392788,26129742,"1,1",244,78,ANDROID,wifi,app,IMAGE,,,3200050,,,0
-4,0,1568670637.653,0,21,0,1087,2,25179,25179,253,6371272,28135141,9,32,02,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568670642.206,0,21,0,1088,2,25181,25840,74,6371265,28120963,14,32,21,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568670680.827,0,21,0,1883,2,6932,16056,253,6373904,26490692,9,177,15,ANDROID,cellular,app,VIDEO,,,3200480,0,,0
-4,0,1568670706.066,0,21,0,1883,2,6932,16056,253,6373896,28126468,9,177,,ANDROID,cellular,app,VIDEO,,,3200480,0,,0
-4,0,1568670781.908,0,21,0,930,2,25555,26682,74,6359438,27672495,1,10,04,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568670961.14,0,21,0,1061,2,25640,27098,69,6389443,26539460,3,137,14,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568670986.685,0,21,0,1061,2,25401,27497,69,6381956,27765271,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,"Ada banyak pilihan menu siap saji, biar GrabFood yang mengantar sampai lokasi",0,,,0
-4,0,1568671003.07,0,21,1,2249,2,6635,27324,253,6382661,20080263,9,237,,ANDROID,cellular,app,HTML,See Homes,The most homes for sale nationwide,3200480,,,0
-4,0,1568671005.935,0,21,0,1087,2,25179,25179,259,5533185,28109051,9,32,27,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568671207.46,0,22,0,1088,2,25181,25181,74,6371285,28120963,14,32,27,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568671389.199,0,22,0,930,2,25482,26490,69,6379443,26329784,"1,9,9",32,07,ANDROID,cellular,app,HTML,ABRIR O APP,,3200050,,,0
-4,0,1568671420.207,0,22,0,1933,2,25603,27171,69,6391127,28153864,"14,3",32,27,ANDROID,wifi,app,NATIVE,Compre agora,Cinema + Desconto: Curta os filmes mais esperados!,0,2,,0
-4,0,1568671491.685,0,22,0,2480,2,25624,26946,69,6388802,28014499,"14,3",104,19,ANDROID,cellular,app,HTML,Let's Ride,It's stressful & tiring,3000250,,,0
-4,0,1568671517.326,0,22,0,1061,2,6653,27470,69,6392845,28014499,"14,3",244,44,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568671709.795,0,22,0,2154,2,25476,26459,69,6386377,5140364,"1,1,24",32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568671737.5,0,22,0,1087,2,25179,25179,253,6381399,28046350,9,32,30,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568671802.47,0,22,0,1061,2,25401,27497,69,6381958,27765271,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,0
-4,0,1568671870.481,0,22,0,1087,2,25179,25835,168,6381399,27386999,"19,19,3",32,21,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568671979.066,0,22,3,2316,2,6590,26951,74,6371885,28121260,1,32,27,ANDROID,cellular,app,IMAGE,,,3200480,2,,0
-4,0,1568672084.746,0,22,0,2154,2,25476,26459,253,6389907,28582441,1,32,,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568672141.729,0,22,0,2213,2,6639,14723,69,6388961,27734524,3,178,F2,ANDROID,cellular,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
-4,0,1568672187.931,0,22,0,536,2,25225,26344,74,6389686,28120963,14,49,02,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672439.288,0,22,0,1699,2,4941,26873,253,6387895,28641080,24,85,04,ANDROID,cellular,app,HTML,Jetzt Buchen, {product.custom_label_1},3200480,,,0
-4,0,1568672459.872,0,22,3,2316,2,6590,26546,74,6371880,28120955,9,32,21,ANDROID,wifi,app,IMAGE,,,3200050,0,,0
-4,0,1568672463.947,0,22,0,1992,2,25403,26865,69,6387835,26357695,5,32,21,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672572.516,0,22,0,1061,2,6652,14758,69,6376677,27765271,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,0
-4,0,1568672700.708,0,22,0,2213,2,6639,14723,69,6388961,27734527,3,178,20,ANDROID,cellular,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
-4,0,1568672720.537,0,22,0,1061,2,6652,14758,69,6376677,27734524,3,106,26,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,0
-4,0,1568672788.74,0,22,0,2416,2,25664,27148,69,6390877,28501347,"12,24",104,23,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672835.109,0,22,0,2154,2,25476,26459,69,6386377,26773518,3,32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672890.056,0,22,0,1992,2,25403,26865,44,6392813,26037250,3,32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568672891.325,0,22,0,1999,2,25662,27118,69,6374246,27322361,"9,9,9",32,23,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568672901.953,0,22,0,2339,2,25357,25851,69,6378875,21032817,"14,3",49,34,ANDROID,cellular,app,NATIVE,Viaja Ahora,Estás Listo Para Viajar con Beat,0,,,0
-4,0,1568672931.101,0,22,0,2339,2,6841,15724,69,6392864,28014499,"14,3",177,15,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568672971.337,0,22,0,2339,2,6842,26847,69,6376967,28457110,"1,14",45,12,ANDROID,cellular,app,NATIVE,Mejores Tarifas,¡No te muevas sin las mejores tarifas de Beat!,0,,,0
-4,0,1568672989.421,0,22,0,1999,2,25662,27118,69,6374255,27661100,3,32,15,ANDROID,cellular,app,NATIVE,Peça agora,o app do gás,0,,,0
-4,0,1568672990.091,0,22,0,2339,2,6841,15724,69,6392864,5140364,"1,1,24",177,15,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673076.872,0,22,0,1992,2,25403,26865,253,6387835,28582441,1,32,,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673099.939,0,22,0,2116,2,25165,26748,74,6389876,28120963,14,237,CA,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673168.175,0,22,0,2339,2,6842,26847,168,6375059,636865,"1,12",45,12,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568673211.353,0,22,3,2464,2,25692,27245,253,6391859,20107006,9,32,,ANDROID,cellular,app,IMAGE,,,4800320,,,0
-4,0,1568673252.655,0,22,0,1359,2,25238,25726,253,6373543,28635340,19,236,R3,ANDROID,wifi,app,IMAGE,,,3200480,3,,0
-4,0,1568673293.232,0,22,0,1088,2,25181,25181,74,6381396,28120963,14,32,22,IOS,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568673296.953,0,22,0,1087,2,25179,25179,253,5533185,26052167,9,32,,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568673382.792,0,22,0,536,2,25742,27506,74,6389411,28120963,14,10,05,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568673448.84,0,22,0,2154,2,25170,25170,253,6385048,26941351,19,32,27,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568673629.352,0,22,0,1999,2,25662,27118,178,6370168,26242888,3,32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568673707.996,0,22,0,2116,2,25165,27468,259,6388119,26983494,9,237,NC,IOS,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673744.252,0,22,0,930,2,25482,26577,69,6379438,27814728,"1,1,9,9",32,17,ANDROID,wifi,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568673808.813,0,22,0,1883,2,6932,16056,69,6374605,28014499,"14,3",177,04,ANDROID,wifi,app,IMAGE,,,3000250,0,,0
-4,0,1568673904.432,0,22,1,2463,2,25696,27279,259,6392054,28616144,9,178,F2,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568673911.928,0,22,0,2214,2,6732,15102,259,6372757,28616168,9,244,78,ANDROID,wifi,app,HTML,XEM NGAY,ƯU ĐÃI ĐẾN 60%,3200480,,,0
-4,0,1568673952.095,0,22,0,930,2,25482,26490,74,6386525,28131572,"1,9",32,27,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568673966.243,0,22,0,1061,2,25401,26155,69,6381854,26934323,"5,9,9",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3200480,1,,0
-4,0,1568673993.649,0,22,0,432,2,6791,15441,253,6378958,28161116,9,32,,ANDROID,wifi,app,HTML,VER MAIS,Saindo de {custom_label_2},3200480,,,0
-4,0,1568673994.694,0,22,0,2210,2,6835,27114,209,6379360,28196851,19,237,TX,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674037.634,0,22,0,2117,2,25160,26745,253,6389888,28220640,24,237,FL,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674061.944,0,22,0,1883,2,6932,16056,99,6375982,28035118,,177,15,ANDROID,wifi,app,NATIVE,PIDE AHORA,Haz las compras desde donde estés,0,0,,0
